experiment,protocol,class,center_distance_threshold_m,AP,class_mean_AP
B0,compound_fog_crash_10f,car,0.5,0.4131712234067159,0.7059593651331773
B0,compound_fog_crash_10f,car,1.0,0.6812449833782719,0.7059593651331773
B0,compound_fog_crash_10f,car,2.0,0.8349357776100879,0.7059593651331773
B0,compound_fog_crash_10f,car,4.0,0.8944854761376335,0.7059593651331773
B0,compound_fog_crash_10f,truck,0.5,0.622641172205151,0.7812301490550008
B0,compound_fog_crash_10f,truck,1.0,0.7547779221956099,0.7812301490550008
B0,compound_fog_crash_10f,truck,2.0,0.8703109469457446,0.7812301490550008
B0,compound_fog_crash_10f,truck,4.0,0.8771905548734976,0.7812301490550008
B0,compound_fog_crash_10f,bus,0.5,0.04730694747034617,0.41527683820582395
B0,compound_fog_crash_10f,bus,1.0,0.38045125939460456,0.41527683820582395
B0,compound_fog_crash_10f,bus,2.0,0.42802871272930054,0.41527683820582395
B0,compound_fog_crash_10f,bus,4.0,0.8053204332290445,0.41527683820582395
B0,compound_fog_crash_10f,trailer,0.5,0.0,0.0
B0,compound_fog_crash_10f,trailer,1.0,0.0,0.0
B0,compound_fog_crash_10f,trailer,2.0,0.0,0.0
B0,compound_fog_crash_10f,trailer,4.0,0.0,0.0
B0,compound_fog_crash_10f,construction_vehicle,0.5,0.0,0.0
B0,compound_fog_crash_10f,construction_vehicle,1.0,0.0,0.0
B0,compound_fog_crash_10f,construction_vehicle,2.0,0.0,0.0
B0,compound_fog_crash_10f,construction_vehicle,4.0,0.0,0.0
B0,compound_fog_crash_10f,pedestrian,0.5,0.1414497426382946,0.5504673351744404
B0,compound_fog_crash_10f,pedestrian,1.0,0.48220694761034183,0.5504673351744404
B0,compound_fog_crash_10f,pedestrian,2.0,0.7547851957710575,0.5504673351744404
B0,compound_fog_crash_10f,pedestrian,4.0,0.8234274546780672,0.5504673351744404
B0,compound_fog_crash_10f,motorcycle,0.5,0.2025745932009516,0.4840739443193748
B0,compound_fog_crash_10f,motorcycle,1.0,0.3965908207293023,0.4840739443193748
B0,compound_fog_crash_10f,motorcycle,2.0,0.5994353102543724,0.4840739443193748
B0,compound_fog_crash_10f,motorcycle,4.0,0.7376950530928729,0.4840739443193748
B0,compound_fog_crash_10f,bicycle,0.5,0.07639393669137964,0.3146792894868383
B0,compound_fog_crash_10f,bicycle,1.0,0.31696307764222215,0.3146792894868383
B0,compound_fog_crash_10f,bicycle,2.0,0.42564797112441266,0.3146792894868383
B0,compound_fog_crash_10f,bicycle,4.0,0.43971217248933875,0.3146792894868383
B0,compound_fog_crash_10f,traffic_cone,0.5,0.4105996111089578,0.6611921914341254
B0,compound_fog_crash_10f,traffic_cone,1.0,0.6663749111822437,0.6611921914341254
B0,compound_fog_crash_10f,traffic_cone,2.0,0.7751981054531152,0.6611921914341254
B0,compound_fog_crash_10f,traffic_cone,4.0,0.7925961379921851,0.6611921914341254
B0,compound_fog_crash_10f,barrier,0.5,0.0,0.0
B0,compound_fog_crash_10f,barrier,1.0,0.0,0.0
B0,compound_fog_crash_10f,barrier,2.0,0.0,0.0
B0,compound_fog_crash_10f,barrier,4.0,0.0,0.0
B0_RayDN,clean_no_corruption,car,0.5,0.4479994344723969,0.7291695789554402
B0_RayDN,clean_no_corruption,car,1.0,0.7153558925162694,0.7291695789554402
B0_RayDN,clean_no_corruption,car,2.0,0.8528568387984254,0.7291695789554402
B0_RayDN,clean_no_corruption,car,4.0,0.9004661500346691,0.7291695789554402
B0_RayDN,clean_no_corruption,truck,0.5,0.6465983409354171,0.8165025110332069
B0_RayDN,clean_no_corruption,truck,1.0,0.8658813810045947,0.8165025110332069
B0_RayDN,clean_no_corruption,truck,2.0,0.8766140345445785,0.8165025110332069
B0_RayDN,clean_no_corruption,truck,4.0,0.8769162876482374,0.8165025110332069
B0_RayDN,clean_no_corruption,bus,0.5,0.06785466536672584,0.6097686085601148
B0_RayDN,clean_no_corruption,bus,1.0,0.6857914385399893,0.6097686085601148
B0_RayDN,clean_no_corruption,bus,2.0,0.6857914385399893,0.6097686085601148
B0_RayDN,clean_no_corruption,bus,4.0,0.9996368917937548,0.6097686085601148
B0_RayDN,clean_no_corruption,trailer,0.5,0.0,0.0
B0_RayDN,clean_no_corruption,trailer,1.0,0.0,0.0
B0_RayDN,clean_no_corruption,trailer,2.0,0.0,0.0
B0_RayDN,clean_no_corruption,trailer,4.0,0.0,0.0
B0_RayDN,clean_no_corruption,construction_vehicle,0.5,0.0,0.0
B0_RayDN,clean_no_corruption,construction_vehicle,1.0,0.0,0.0
B0_RayDN,clean_no_corruption,construction_vehicle,2.0,0.0,0.0
B0_RayDN,clean_no_corruption,construction_vehicle,4.0,0.0,0.0
B0_RayDN,clean_no_corruption,pedestrian,0.5,0.16990648298255065,0.5790489822896818
B0_RayDN,clean_no_corruption,pedestrian,1.0,0.5107581311044161,0.5790489822896818
B0_RayDN,clean_no_corruption,pedestrian,2.0,0.7813618508467502,0.5790489822896818
B0_RayDN,clean_no_corruption,pedestrian,4.0,0.85416946422501,0.5790489822896818
B0_RayDN,clean_no_corruption,motorcycle,0.5,0.2111289240923201,0.5534824199313573
B0_RayDN,clean_no_corruption,motorcycle,1.0,0.497982664202393,0.5534824199313573
B0_RayDN,clean_no_corruption,motorcycle,2.0,0.7165443643031054,0.5534824199313573
B0_RayDN,clean_no_corruption,motorcycle,4.0,0.7882737271276106,0.5534824199313573
B0_RayDN,clean_no_corruption,bicycle,0.5,0.07649148865514359,0.27202001359393996
B0_RayDN,clean_no_corruption,bicycle,1.0,0.22668287684761798,0.27202001359393996
B0_RayDN,clean_no_corruption,bicycle,2.0,0.38607656087351483,0.27202001359393996
B0_RayDN,clean_no_corruption,bicycle,4.0,0.3988291279994835,0.27202001359393996
B0_RayDN,clean_no_corruption,traffic_cone,0.5,0.3787655802452166,0.7067225390203615
B0_RayDN,clean_no_corruption,traffic_cone,1.0,0.7633143816506964,0.7067225390203615
B0_RayDN,clean_no_corruption,traffic_cone,2.0,0.8424050970927667,0.7067225390203615
B0_RayDN,clean_no_corruption,traffic_cone,4.0,0.8424050970927667,0.7067225390203615
B0_RayDN,clean_no_corruption,barrier,0.5,0.0,0.0
B0_RayDN,clean_no_corruption,barrier,1.0,0.0,0.0
B0_RayDN,clean_no_corruption,barrier,2.0,0.0,0.0
B0_RayDN,clean_no_corruption,barrier,4.0,0.0,0.0
B0_RayDN,camera_crash_back_5f,car,0.5,0.441848784179711,0.7285906898734532
B0_RayDN,camera_crash_back_5f,car,1.0,0.7210050951400779,0.7285906898734532
B0_RayDN,camera_crash_back_5f,car,2.0,0.8523331016334973,0.7285906898734532
B0_RayDN,camera_crash_back_5f,car,4.0,0.8991757785405269,0.7285906898734532
B0_RayDN,camera_crash_back_5f,truck,0.5,0.6429128760991596,0.8069090235991976
B0_RayDN,camera_crash_back_5f,truck,1.0,0.8301290786626184,0.8069090235991976
B0_RayDN,camera_crash_back_5f,truck,2.0,0.8767018041072936,0.8069090235991976
B0_RayDN,camera_crash_back_5f,truck,4.0,0.8778923355277185,0.8069090235991976
B0_RayDN,camera_crash_back_5f,bus,0.5,0.07630425193926339,0.4994350041291326
B0_RayDN,camera_crash_back_5f,bus,1.0,0.41811290170311277,0.4994350041291326
B0_RayDN,camera_crash_back_5f,bus,2.0,0.5628400786251727,0.4994350041291326
B0_RayDN,camera_crash_back_5f,bus,4.0,0.9404827842489816,0.4994350041291326
B0_RayDN,camera_crash_back_5f,trailer,0.5,0.0,0.0
B0_RayDN,camera_crash_back_5f,trailer,1.0,0.0,0.0
B0_RayDN,camera_crash_back_5f,trailer,2.0,0.0,0.0
B0_RayDN,camera_crash_back_5f,trailer,4.0,0.0,0.0
B0_RayDN,camera_crash_back_5f,construction_vehicle,0.5,0.0,0.0
B0_RayDN,camera_crash_back_5f,construction_vehicle,1.0,0.0,0.0
B0_RayDN,camera_crash_back_5f,construction_vehicle,2.0,0.0,0.0
B0_RayDN,camera_crash_back_5f,construction_vehicle,4.0,0.0,0.0
B0_RayDN,camera_crash_back_5f,pedestrian,0.5,0.16309036821307965,0.5696527839914682
B0_RayDN,camera_crash_back_5f,pedestrian,1.0,0.4860289727449599,0.5696527839914682
B0_RayDN,camera_crash_back_5f,pedestrian,2.0,0.7761579044695026,0.5696527839914682
B0_RayDN,camera_crash_back_5f,pedestrian,4.0,0.8533338905383305,0.5696527839914682
B0_RayDN,camera_crash_back_5f,motorcycle,0.5,0.26815374028947764,0.6051039493531756
B0_RayDN,camera_crash_back_5f,motorcycle,1.0,0.5960918434943706,0.6051039493531756
B0_RayDN,camera_crash_back_5f,motorcycle,2.0,0.7475680718188642,0.6051039493531756
B0_RayDN,camera_crash_back_5f,motorcycle,4.0,0.8086021418099898,0.6051039493531756
B0_RayDN,camera_crash_back_5f,bicycle,0.5,0.07784142185059241,0.2783387805555783
B0_RayDN,camera_crash_back_5f,bicycle,1.0,0.22966147854128147,0.2783387805555783
B0_RayDN,camera_crash_back_5f,bicycle,2.0,0.39656046440031945,0.2783387805555783
B0_RayDN,camera_crash_back_5f,bicycle,4.0,0.4092917574301199,0.2783387805555783
B0_RayDN,camera_crash_back_5f,traffic_cone,0.5,0.42049905430529017,0.6980050383383916
B0_RayDN,camera_crash_back_5f,traffic_cone,1.0,0.7386363883242143,0.6980050383383916
B0_RayDN,camera_crash_back_5f,traffic_cone,2.0,0.816442355362031,0.6980050383383916
B0_RayDN,camera_crash_back_5f,traffic_cone,4.0,0.816442355362031,0.6980050383383916
B0_RayDN,camera_crash_back_5f,barrier,0.5,0.0,0.0
B0_RayDN,camera_crash_back_5f,barrier,1.0,0.0,0.0
B0_RayDN,camera_crash_back_5f,barrier,2.0,0.0,0.0
B0_RayDN,camera_crash_back_5f,barrier,4.0,0.0,0.0
B0_RayDN,camera_crash_back_10f,car,0.5,0.45746259988146026,0.7317234956047692
B0_RayDN,camera_crash_back_10f,car,1.0,0.7189163687834491,0.7317234956047692
B0_RayDN,camera_crash_back_10f,car,2.0,0.8525164199537784,0.7317234956047692
B0_RayDN,camera_crash_back_10f,car,4.0,0.897998593800389,0.7317234956047692
B0_RayDN,camera_crash_back_10f,truck,0.5,0.630051923451278,0.7993401636883404
B0_RayDN,camera_crash_back_10f,truck,1.0,0.8097991406046859,0.7993401636883404
B0_RayDN,camera_crash_back_10f,truck,2.0,0.8778634575162735,0.7993401636883404
B0_RayDN,camera_crash_back_10f,truck,4.0,0.8796461331811238,0.7993401636883404
B0_RayDN,camera_crash_back_10f,bus,0.5,0.04730694747034617,0.3848727448325491
B0_RayDN,camera_crash_back_10f,bus,1.0,0.31339102555428217,0.3848727448325491
B0_RayDN,camera_crash_back_10f,bus,2.0,0.4268728302328384,0.3848727448325491
B0_RayDN,camera_crash_back_10f,bus,4.0,0.7519201760727294,0.3848727448325491
B0_RayDN,camera_crash_back_10f,trailer,0.5,0.0,0.0
B0_RayDN,camera_crash_back_10f,trailer,1.0,0.0,0.0
B0_RayDN,camera_crash_back_10f,trailer,2.0,0.0,0.0
B0_RayDN,camera_crash_back_10f,trailer,4.0,0.0,0.0
B0_RayDN,camera_crash_back_10f,construction_vehicle,0.5,0.0,0.0
B0_RayDN,camera_crash_back_10f,construction_vehicle,1.0,0.0,0.0
B0_RayDN,camera_crash_back_10f,construction_vehicle,2.0,0.0,0.0
