count,mean,metric,p01,p10,p25,p50,p75,p90,p99,phase,protocol,variant
10,0.1512222222222222,keep_ratio,0.12797777777777777,0.12977777777777777,0.1325,0.15,0.16666666666666666,0.17244444444444443,0.18324444444444443,fault,crash_5f,n1_debug50
10,0.010111111111111109,recover_ratio,0.0013111111111111112,0.0031111111111111114,0.005,0.0077777777777777776,0.014166666666666666,0.01933333333333333,0.022933333333333333,fault,crash_5f,n1_debug50
9000,0.3265388913883103,score_scale,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,1.0,1.0,fault,crash_5f,n1_debug50
9000,0.6197353821463055,source_innovation,0.0,0.0,0.0,1.0,1.0,1.0,1.0,fault,crash_5f,n1_debug50
9000,1.053767827325397,strength,0.0,0.0,0.8319203853607178,1.1308640241622925,1.3517691493034363,1.9028725624084473,3.061604509353638,fault,crash_5f,n1_debug50
9000,0.007536892281638252,temporal_reacquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.28346866369247437,fault,crash_5f,n1_debug50
9000,0.6954697965979576,uncertainty,0.3951316186785698,0.512443083524704,0.5966997891664505,0.6388013064861298,0.7062345743179321,1.0,1.0,fault,crash_5f,n1_debug50
10,0.16133333333333333,write_ratio,0.14454444444444442,0.14544444444444443,0.14694444444444443,0.15999999999999998,0.1711111111111111,0.1791111111111111,0.1899111111111111,fault,crash_5f,n1_debug50
5400,0.7182999372309833,actual_added_negative_evidence,0.15586566925048828,0.26049036383628843,0.6277696937322617,0.7497680187225342,0.8585266023874283,1.0074243426322937,1.3401737177371984,pre_fault,crash_5f,n1_debug50
5400,0.2778048569591785,actual_added_positive_evidence,0.05650361571460962,0.08972861617803574,0.21079253777861595,0.27746038138866425,0.347698450088501,0.4272847652435303,0.6035124182701112,pre_fault,crash_5f,n1_debug50
5400,1.3368380321396722,alpha,1.07687246799469,1.2184136152267455,1.2573908567428589,1.3169015049934387,1.3949751257896423,1.4878605723381042,1.7052814698219305,pre_fault,crash_5f,n1_debug50
5400,1.8494336282544666,beta,1.1558656692504883,1.6440190076828003,1.7194837629795074,1.807174265384674,1.933269441127777,2.1478399038314824,2.5593995904922506,pre_fault,crash_5f,n1_debug50
6,0.9114814814814814,defer_ratio,0.8618888888888889,0.8688888888888889,0.8836111111111111,0.9055555555555556,0.9433333333333334,0.96,0.964,pre_fault,crash_5f,n1_debug50
6,162.5,effective_propagated_queries,0.0,0.0,53.5,231.5,254.25,256.0,256.0,pre_fault,crash_5f,n1_debug50
6,0.08851851851851851,keep_ratio,0.036,0.04,0.05666666666666667,0.09444444444444444,0.11638888888888889,0.13111111111111112,0.13811111111111113,pre_fault,crash_5f,n1_debug50
6,0.0,recover_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_fault,crash_5f,n1_debug50
5400,0.2708148175312413,score_scale,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,1.0,pre_fault,crash_5f,n1_debug50
5400,0.8336659075926851,source_innovation,0.0,5.185604095458984e-06,1.0,1.0,1.0,1.0,1.0,pre_fault,crash_5f,n1_debug50
5400,1.1862716590916669,strength,0.23273801803588867,0.903439974784851,0.9972427487373352,1.1326494216918945,1.3007521629333496,1.5977939605712892,2.1681745243072514,pre_fault,crash_5f,n1_debug50
5400,0.0,temporal_reacquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pre_fault,crash_5f,n1_debug50
